BTW_BUND 17;
Vorläufiges Ergebnis;
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;Christlich Demokratische Union Deutschlands;;;;Sozialdemokratische Partei Deutschlands;;;;DIE LINKE;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Christlich-Soziale Union in Bayern e.V.;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Piratenpartei Deutschland;;;;Nationaldemokratische Partei Deutschlands;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Ökologisch-Demokratische Partei;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Bayernpartei;;;;Ab jetzt...Demokratie durch Volksabstimmung;;;;Partei der Vernunft;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Bürgerrechtsbewegung Solidarität;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;DIE RECHTE;;;;Allianz Deutscher Demokraten;;;;Allianz für Menschenrechte, Tier- und Naturschutz;;;;bergpartei, die überpartei;;;;Bündnis Grundeinkommen;;;;DEMOKRATIE IN BEWEGUNG;;;;Deutsche Kommunistische Partei;;;;Deutsche Mitte;;;;Die Grauen – Für alle Generationen;;;;Die Urbane. Eine HipHop Partei;;;;Madgeburger Gartenpartei;;;;Menschliche Welt;;;;Partei der Humanisten;;;;Partei für Gesundheitsforschung;;;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;;;Bündnis C - Christen für Deutschland;;;;DIE EINHEIT;;;;Die Violetten;;;;Familien-Partei Deutschlands;;;;Feministische Partei DIE FRAUEN;;;;Mieterpartei;;;;Neue Liberale – Die Sozialliberalen;;;;UNABHÄNGIGE für bürgernahe Demokratie;;;;Übrige;;;;
175;Main-Kinzig – Wetterau II – Schotten;6;180491;180491;180491;180491;131010;131010;131010;131010;7983;4237;4744;3996;123027;126773;126266;127014;61911;61911;52305;52305;41061;41061;35313;35313;6739;6739;6934;6934;6815;6815;9720;9720;;;;;2963;2963;6516;6516;0;0;8098;8098;;;2666;2666;3538;3538;2662;2662;0;0;1325;1325;;;0;0;;;0;0;;;630;630;;;;;;;;;;;;;;;25;25;;;72;72;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3746;;748;
176;Hochtaunus;6;182026;182026;182026;182026;139886;139886;139886;139886;6506;2911;3644;3003;133380;136975;136242;136883;66785;66785;58822;58822;38435;38435;33846;33846;5482;5482;6358;6358;10064;10064;12690;12690;;;;;4866;4866;10334;10334;7748;7748;9447;9447;;;2266;2266;;;1024;1024;0;0;876;876;;;0;0;;;0;0;;;510;510;;;;;;;;;;;;;;;18;18;;;51;51;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3595;;641;
177;Wetterau I;6;175085;175085;175085;175085;131480;131480;131480;131480;6573;3710;3752;3331;124907;127770;127728;128149;60118;60118;52419;52419;40805;40805;34937;34937;6174;6174;6615;6615;9497;9497;11991;11991;;;;;3527;3527;7586;7586;0;0;7608;7608;;;2535;2535;2364;2364;1860;1860;2422;2422;1440;1440;;;0;0;;;0;0;;;604;604;;;;;;;;;;;;;;;23;23;;;110;110;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2863;;421;
178;Rheingau-Taunus – Limburg;6;220668;220668;220668;220668;165788;165788;165788;165788;8089;3756;4422;3864;157699;162032;161366;161924;84489;84489;73599;73599;47152;47152;40718;40718;6300;6300;7290;7290;9119;9119;13955;13955;;;;;3726;3726;10139;10139;6913;6913;9469;9469;;;2884;2884;;;1476;1476;0;0;1126;1126;;;0;0;;;0;0;;;611;611;;;;;;;;;;;;;;;42;42;;;57;57;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4333;;558;
179;Wiesbaden;6;189698;189698;189698;189698;132335;132335;132335;132335;3981;2705;3166;2652;128354;129630;129169;129683;56466;56466;50187;50187;45311;45311;36041;36041;6097;6097;7668;7668;9784;9784;15133;15133;;;;;3296;3296;8801;8801;5176;5176;6550;6550;2224;2224;2531;2531;;;865;865;0;0;665;665;;;0;0;;;0;0;0;0;525;525;;;;;;;;;;;;;;;52;52;;;151;151;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1276;;514;
180;Hanau;6;177413;177413;177413;177413;128280;128280;128280;128280;7164;4179;4750;3786;121116;124101;123530;124494;54920;54920;48828;48828;45184;45184;35650;35650;7069;7069;7630;7630;7217;7217;11183;11183;;;;;3053;3053;6611;6611;0;0;7356;7356;;;2549;2549;2625;2625;1899;1899;0;0;847;847;;;0;0;;;0;0;1048;1048;876;876;;;;;;;;;;;;;;;28;28;;;73;73;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2985;;964;
181;Main-Taunus;6;196605;196605;196605;196605;155145;155145;155145;155145;9585;4078;3733;3226;145560;151067;151412;151919;79353;79353;66598;66598;40927;40927;34156;34156;6355;6355;6406;6406;12453;12453;15057;15057;;;;;6472;6472;13100;13100;0;0;10470;10470;;;2773;2773;;;1003;1003;0;0;1212;1212;;;0;0;;;0;0;;;549;549;;;;;;;;;;;;;;;35;35;;;53;53;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5507;;507;
182;Frankfurt am Main I;6;195615;195615;195615;195615;133575;133575;133575;133575;5153;3056;3332;2687;128422;130519;130243;130888;52427;52427;43883;43883;43124;43124;35106;35106;10280;10280;11684;11684;12875;12875;17398;17398;;;;;4125;4125;9209;9209;0;0;6983;6983;3066;3066;3117;3117;;;949;949;1586;1586;904;904;;;0;0;;;0;0;939;939;869;869;;;;;;;;;;;;;0;0;56;56;;;85;85;0;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2097;;645;
183;Frankfurt am Main II;6;219357;219357;219357;219357;159914;159914;159914;159914;8735;2937;3330;2901;151179;156977;156584;157013;57004;57004;53198;53198;47854;47854;41360;41360;9547;9547;12778;12778;21184;21184;24165;24165;;;;;5434;5434;10979;10979;5155;5155;7669;7669;2858;2858;3426;3426;;;930;930;988;988;932;932;;;0;0;;;0;0;1155;1155;1006;1006;;;;;;;;;;;;;0;0;54;54;;;87;87;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5798;;429;
184;Groß-Gerau;6;174002;174002;174002;174002;127383;127383;127383;127383;8718;4079;4464;3694;118665;123304;122919;123689;52087;52087;45389;45389;46942;46942;37781;37781;7645;7645;7693;7693;9502;9502;13129;13129;;;;;2489;2489;5762;5762;0;0;6939;6939;;;2989;2989;;;1430;1430;0;0;1036;1036;;;0;0;;;0;0;;;643;643;;;;;;;;;;;;;0;0;76;76;;;52;52;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4639;;770;
185;Offenbach;6;221650;221650;221650;221650;158240;158240;158240;158240;7175;4637;4915;3990;151065;153603;153325;154250;69930;69930;59905;59905;47984;47984;40203;40203;9479;9479;10205;10205;12548;12548;16503;16503;;;;;4376;4376;9836;9836;0;0;8994;8994;3780;3780;3627;3627;;;1663;1663;2968;2968;1461;1461;;;0;0;;;0;0;;;839;839;;;;;;;;;;;;;;;40;40;;;49;49;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;2538;;925;
186;Darmstadt;6;240017;240017;240017;240017;180790;180790;180790;180790;10663;4193;4624;4090;170127;176597;176166;176700;63397;63397;61677;61677;65820;65820;50416;50416;9111;9111;11866;11866;20704;20704;25149;25149;;;;;4306;4306;8945;8945;6789;6789;9169;9169;;;5508;5508;;;1354;1354;0;0;933;933;;;0;0;;;0;0;;;991;991;;;;;;;;;;;;;0;0;96;96;;;62;62;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6470;;534;
187;Odenwald;6;234360;234360;234360;234360;177273;177273;177273;177273;14308;6023;6577;5441;162965;171250;170696;171832;80323;80323;70211;70211;57586;57586;48252;48252;8621;8621;9459;9459;11854;11854;15560;15560;;;;;4581;4581;8964;8964;0;0;9864;9864;;;4034;4034;;;2035;2035;0;0;1307;1307;;;0;0;;;0;0;;;833;833;;;;;;;;;;;;;;;76;76;;;101;101;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8285;;1136;
188;Bergstraße;6;199685;199685;199685;199685;148381;148381;148381;148381;9275;3252;4683;3822;139106;145129;143698;144559;70131;70131;61337;61337;46099;46099;39838;39838;5730;5730;7025;7025;8222;8222;12520;12520;;;;;2795;2795;7975;7975;6129;6129;8134;8134;;;2951;2951;;;1589;1589;;;1602;1602;;;0;0;;;0;0;;;628;628;;;;;;;;;;;;;;;32;32;;;67;67;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6023;;861;
6;Hessen;99;4413271;4413271;4413271;4413271;3230483;3230483;3230483;3230483;180037;89214;95992;82392;3050446;3141269;3134491;3148091;1399206;1399206;1232994;1232994;1080828;1080828;906906;906906;167135;167135;188654;188654;236653;236653;313135;313135;;;;;81708;81708;175144;175144;37910;37910;176319;176319;16552;74084;64655;64655;16869;38635;34115;34115;10118;11727;24929;24929;;;0;0;;;0;0;3142;3869;15033;15033;;;;;;;;;;;;;325;325;1071;1071;;;1536;1536;0;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;9189;;13600;
;
189;Eichsfeld – Nordhausen – Kyffhäuserkreis;16;225206;225206;225206;225206;152177;152177;152177;152177;11504;2422;2503;2257;140673;149755;149674;149920;71768;71768;65251;65251;24486;24486;22951;22951;33407;33407;32463;32463;4512;4512;5571;5571;;;;;2066;2066;4068;4068;0;0;7562;7562;;;2898;2898;;;4769;4769;2158;2158;2435;2435;;;;;2276;2276;1578;1578;;;0;0;;;;;;;;;;;;;;;128;128;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9082;;246;
190;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis;16;231502;231502;231502;231502;155409;155409;155409;155409;7107;2729;2672;2376;148302;152680;152737;153033;66311;66311;61390;61390;28484;28484;26096;26096;35851;35851;34454;34454;4892;4892;6214;6214;;;;;2445;2445;3843;3843;0;0;7824;7824;;;3109;3109;6758;6758;5805;5805;3561;3561;2915;2915;;;;;;;864;864;;;0;0;;;;;;;;;;;;;0;0;223;223;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4378;;296;
191;Jena – Sömmerda – Weimarer Land I;16;208560;208560;208560;208560;146403;146403;146403;146403;12889;2463;2598;2267;133514;143940;143805;144136;55474;55474;51871;51871;28530;28530;23693;23693;36084;36084;33273;33273;7625;7625;10495;10495;;;;;2865;2865;4557;4557;2566;2566;8297;8297;;;4730;4730;;;3880;3880;370;370;1876;1876;;;;;;;976;976;;;0;0;;;;;;;;;;;;;;;157;157;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10426;;331;
192;Gotha – Ilm-Kreis;16;205859;205859;205859;205859;141461;141461;141461;141461;10733;2388;2712;2369;130728;139073;138749;139092;51861;51861;53196;53196;34726;34726;23815;23815;28015;28015;30758;30758;4117;4117;6414;6414;;;;;1879;1879;3280;3280;8063;8063;10309;10309;;;3566;3566;;;4416;4416;2067;2067;2079;2079;;;;;;;734;734;;;0;0;;;;;;;;;;;;;;;182;182;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8345;;343;
193;Erfurt – Weimar – Weimarer Land II;16;224121;224121;224121;224121;156367;156367;156367;156367;7463;2689;2528;2261;148904;153678;153839;154106;56992;56992;53123;53123;36694;36694;27159;27159;35917;35917;35421;35421;9151;9151;13125;13125;;;;;1781;1781;4015;4015;0;0;9328;9328;5670;5670;4849;4849;;;3554;3554;2699;2699;2012;2012;;;;;0;0;1005;1005;0;0;0;0;;;;;;;;;;;;;;;248;248;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4774;;267;
194;Gera – Greiz – Altenburger Land;16;253082;253082;253082;253082;171075;171075;171075;171075;13553;3175;3344;2993;157522;167900;167731;168082;71720;71720;67024;67024;23785;23785;23934;23934;44078;44078;42142;42142;4683;4683;5944;5944;;;;;2378;2378;4312;4312;10457;10457;12735;12735;;;3408;3408;;;5555;5555;421;421;1583;1583;;;;;;;843;843;;;0;0;;;;;;;;;;;;;;;251;251;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10378;;351;
195;Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis;16;239724;239724;239724;239724;165581;165581;165581;165581;13796;3430;3167;2779;151785;162151;162414;162802;66864;66864;62222;62222;30353;30353;24759;24759;41324;41324;39629;39629;6222;6222;6610;6610;;;;;3562;3562;4156;4156;2895;2895;11730;11730;;;3726;3726;;;5883;5883;565;565;2385;2385;;;;;;;1035;1035;;;0;0;;;;;;;;;;;;;;;279;279;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10366;;388;
196;Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg;16;246205;246205;246205;246205;162930;162930;162930;162930;9359;2723;2779;2408;153571;160207;160151;160522;67093;67093;63206;63206;29444;29444;26307;26307;44145;44145;40475;40475;4724;4724;6138;6138;;;;;2306;2306;3870;3870;0;0;8228;8228;3586;3586;3213;3213;;;5245;5245;2033;2033;2328;2328;;;;;0;0;865;865;;;0;0;;;;;;;;;;;;;240;240;276;276;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6636;;371;
16;Thüringen;99;1834259;1834259;1834259;1834259;1251403;1251403;1251403;1251403;86404;22019;22303;19710;1164999;1229384;1229100;1231693;508083;508083;477283;477283;236502;236502;198714;198714;298821;298821;288615;288615;45926;45926;60511;60511;;;;;19282;19282;32101;32101;23981;23981;76013;76013;9256;30780;29499;29499;6758;46036;39107;39107;13874;13874;17613;17613;;;;;2276;3860;7900;7900;0;0;0;0;;;;;;;;;;;;;240;835;1744;1744;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1404;;2593;
;
197;Neuwied;7;240333;240333;240333;240333;173536;173536;173536;173536;8844;3247;3351;2380;164692;170289;170185;171156;79785;79785;78005;78005;63453;63453;48866;48866;7655;7655;8965;8965;6779;6779;10661;10661;;;;;3906;3906;8023;8023;0;0;8759;8759;;;3249;3249;;;1610;1610;3114;3114;1657;1657;;;;;;;322;322;;;0;0;;;;;;;;;;;;;0;0;68;68;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5597;;971;
198;Ahrweiler;7;195077;195077;195077;195077;142594;142594;142594;142594;4542;3103;2668;1934;138052;139491;139926;140660;77379;77379;68680;68680;39071;39071;34660;34660;6221;6221;6569;6569;7813;7813;9287;9287;;;;;3313;3313;7897;7897;0;0;7328;7328;4255;4255;2920;2920;;;1067;1067;;;929;929;;;;;;;555;555;;;0;0;;;;;;;;;;;;;;;34;34;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1439;;734;
199;Koblenz;7;198113;198113;198113;198113;142888;142888;142888;142888;3193;3193;2731;2025;139695;139695;140157;140863;67046;67046;63427;63427;43094;43094;38221;38221;6901;6901;7358;7358;11184;11184;10853;10853;;;;;3772;3772;7595;7595;0;0;6625;6625;3953;3953;3073;3073;;;938;938;3745;3745;1714;1714;;;;;;;324;324;0;0;0;0;;;;;;;;;;;;;;;29;29;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;706;
200;Mosel/Rhein-Hunsrück;7;175441;175441;175441;175441;129262;129262;129262;129262;6990;3111;3070;2310;122272;126151;126192;126952;67658;67658;62703;62703;35146;35146;31202;31202;5647;5647;6139;6139;5083;5083;7257;7257;;;;;3990;3990;7948;7948;0;0;5323;5323;;;2352;2352;;;1057;1057;3918;3918;1698;1698;;;;;830;830;477;477;;;0;0;;;;;;;;;;;;;;;36;36;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3879;;760;
201;Kreuznach;7;187473;187473;187473;187473;132299;132299;132299;132299;9072;3409;3276;2495;123227;128890;129023;129804;53324;53324;53335;53335;48521;48521;40708;40708;6688;6688;7485;7485;5733;5733;8221;8221;;;;;3767;3767;7236;7236;0;0;6180;6180;;;2394;2394;;;1434;1434;5194;5194;1745;1745;;;;;0;0;253;253;;;0;0;;;;;;;;;;;;;;;32;32;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5663;;781;
202;Bitburg;7;166313;166313;166313;166313;119298;119298;119298;119298;12455;2706;2892;2031;106843;116592;116406;117267;65252;65252;61192;61192;30613;30613;26189;26189;3867;3867;5134;5134;;;7165;7165;;;;;3807;3807;7136;7136;0;0;4264;4264;;;2159;2159;;;904;904;2875;2875;1925;1925;;;;;429;429;305;305;;;0;0;;;;;;;;;;;;;;;33;33;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9749;;861;
203;Trier;7;193803;193803;193803;193803;141134;141134;141134;141134;7184;3321;3187;2610;133950;137813;137947;138524;67281;67281;60909;60909;42879;42879;36410;36410;7687;7687;8688;8688;9555;9555;13157;13157;;;;;2656;2656;6841;6841;0;0;5736;5736;;;3508;3508;1287;1287;1043;1043;1653;1653;1289;1289;;;;;;;290;290;952;952;0;0;;;;;;;;;;;;;;;76;76;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3863;;577;
204;Montabaur;7;211010;211010;211010;211010;155100;155100;155100;155100;9375;3327;3164;2269;145725;151773;151936;152831;74887;74887;69119;69119;47097;47097;42500;42500;7217;7217;7724;7724;9014;9014;9646;9646;;;;;3714;3714;7994;7994;;;7831;7831;;;3104;3104;;;1705;1705;3796;3796;1945;1945;;;;;;;291;291;;;0;0;;;;;;;;;;;;;;;77;77;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6048;;895;
205;Mainz;7;245612;245612;245612;245612;188171;188171;188171;188171;4499;3431;3743;2413;183672;184740;184428;185758;74083;74083;71290;71290;64340;64340;49232;49232;8005;8005;10266;10266;18825;18825;24728;24728;;;;;9188;9188;12166;12166;0;0;8399;8399;4966;4966;4646;4646;;;988;988;2480;2480;1352;1352;;;;;1785;1785;1294;1294;0;0;0;0;;;;;;;;;;;;;;;67;67;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;1068;;1330;
206;Worms;7;212636;212636;212636;212636;156833;156833;156833;156833;6079;3105;3907;2680;150754;153728;152926;154153;64539;64539;60722;60722;56777;56777;46052;46052;5713;5713;7784;7784;8625;8625;12878;12878;;;;;4097;4097;9179;9179;6316;6316;8604;8604;;;3291;3291;2080;2080;2188;2188;1939;1939;1665;1665;;;;;668;668;517;517;;;0;0;;;;;;;;;;;;;;;46;46;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;2974;;1227;
207;Ludwigshafen/Frankenthal;7;217129;217129;217129;217129;155005;155005;155005;155005;12540;3243;5175;2585;142465;151762;149830;152420;65746;65746;59425;59425;54003;54003;45001;45001;7476;7476;8538;8538;7247;7247;11042;11042;;;;;3773;3773;7952;7952;0;0;9224;9224;;;3878;3878;;;2177;2177;3939;3939;2162;2162;;;;;;;283;283;;;0;0;;;;;;;;;;;;;281;281;148;148;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9297;;2590;
208;Neustadt – Speyer;7;220643;220643;220643;220643;165435;165435;165435;165435;12692;3865;4518;2632;152743;161570;160917;162803;77345;77345;71072;71072;46217;46217;41982;41982;7244;7244;7871;7871;13054;13054;13915;13915;;;;;4355;4355;9337;9337;0;0;7995;7995;;;3660;3660;;;1778;1778;4528;4528;2835;2835;;;;;;;427;427;;;0;0;;;;;;;;;;;;;;;45;45;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;8827;;1886;
209;Kaiserslautern;7;232164;232164;232164;232164;163010;163010;163010;163010;14683;4024;4672;3142;148327;158986;158338;159868;59086;59086;57376;57376;61253;61253;52242;52242;11813;11813;12107;12107;8446;8446;11430;11430;;;;;3584;3584;7315;7315;0;0;7101;7101;;;4278;4278;;;3080;3080;4145;4145;3031;3031;;;;;;;323;323;0;0;0;0;;;;;;;;;;;;;;;55;55;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10659;;1530;
210;Pirmasens;7;180540;180540;180540;180540;128753;128753;128753;128753;9327;4085;5237;3159;119426;124668;123516;125594;57201;57201;54877;54877;40180;40180;35108;35108;7486;7486;8172;8172;5059;5059;5960;5960;;;;;3446;3446;6344;6344;0;0;5461;5461;;;3061;3061;2429;2429;2178;2178;3625;3625;2046;2046;;;;;;;267;267;0;0;0;0;;;;;;;;;;;;;;;42;42;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5242;;2078;
211;Südpfalz;7;216137;216137;216137;216137;158661;158661;158661;158661;12780;3545;4809;2817;145881;155116;153852;155844;75748;75748;66523;66523;43385;43385;40537;40537;6308;6308;7538;7538;11064;11064;13172;13172;;;;;6217;6217;9677;9677;0;0;7584;7584;;;4091;4091;;;1833;1833;3159;3159;2166;2166;;;;;;;660;660;;;0;0;;;;;;;;;;;;;;;71;71;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9235;;1992;
7;Rheinland-Pfalz;99;3092424;3092424;3092424;3092424;2251979;2251979;2251979;2251979;134255;50715;56400;37482;2117724;2201264;2195579;2214497;1026360;1026360;958655;958655;716029;716029;608910;608910;105928;105928;120338;120338;127481;133256;169372;169372;;;;;63585;63585;122640;122640;6316;6316;106414;106414;13174;55870;49664;49664;5796;25853;23980;23980;48110;48110;28159;28159;;;;;3712;6091;6588;6588;952;952;0;0;;;;;;;;;;;;;281;281;859;859;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;0;0;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;12633;;18918;
;
